,exchange,pair,period,signal_module,signal_task,signal_parameters
0,binance,ADA/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
1,binance,ADA/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
2,binance,AE/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
3,binance,AE/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
4,binance,ARK/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
5,binance,ARK/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
6,binance,BAT/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
7,binance,BAT/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
8,binance,BCH/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
9,binance,BNB/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
10,binance,BNB/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
11,binance,BTG/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
12,binance,BTG/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
13,binance,BTS/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
14,binance,BTS/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
15,binance,DASH/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
16,binance,GAS/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
17,binance,HSR/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
18,binance,HSR/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
19,binance,ICX/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
20,binance,ICX/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
21,binance,KMD/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
22,binance,KMD/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
23,binance,LTC/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
24,binance,NEO/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
25,binance,NEO/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
26,binance,OMG/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
27,binance,OMG/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
28,binance,PPT/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
29,binance,PPT/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
30,binance,QTUM/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
31,binance,QTUM/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
32,binance,SNT/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
33,binance,SNT/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
34,binance,STEEM/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
35,binance,STEEM/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
36,binance,STRAT/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
37,binance,STRAT/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
38,binance,TRX/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
39,binance,TRX/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
40,binance,VEN/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
41,binance,VEN/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
42,binance,WAVES/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
43,binance,WAVES/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
44,binance,WTC/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
45,binance,WTC/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
46,binance,XLM/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
47,binance,XMR/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
48,binance,XRP/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
49,binance,XVG/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
50,binance,XVG/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
51,binance,ZEC/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
52,binance,ZRX/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
53,binance,ZRX/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
54,kraken,BCH/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
55,kraken,BCH/USD,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
56,kraken,BTC/USD,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
57,kraken,DASH/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
58,kraken,DASH/USD,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
59,kraken,EOS/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
60,kraken,EOS/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
61,kraken,EOS/USD,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
62,kraken,ETC/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
63,kraken,ETC/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
64,kraken,ETC/USD,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
65,kraken,ETH/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
66,kraken,ETH/USD,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
67,kraken,LTC/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
68,kraken,LTC/USD,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
69,kraken,REP/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
70,kraken,REP/ETH,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
71,kraken,REP/USD,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
72,kraken,XLM/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
73,kraken,XLM/USD,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
74,kraken,XMR/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
75,kraken,XMR/USD,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
76,kraken,XRP/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
77,kraken,XRP/USD,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
78,kraken,ZEC/BTC,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
79,kraken,ZEC/USD,1h,simple_turtle,SimpleTurtleSignalThresholds,{}
